Timestamp,Temperature,Pressure,Flow Rate,RPM,Operational Hours,Requires Maintenance,Load Percent,Is Running
1773495285.190433,19.89907927541291,5.549546005452827,-0.00016096732540908792,-57.72840102078534,0.0,False,-0.4118836060890191,False
1773495315.20408,7.16720133407452,72.91249088343284,-2.30682420870051,-225.53055662091256,30.011241100000007,False,-0.5814548395978282,False
1773495345.224465,10.279440248428983,74.99015798590798,-2.7629267648981095,-379.901439044389,60.02607119999993,False,-0.514062067374452,False
1773495375.252374,7.954540967158072,69.71790290203946,-2.820461639717822,-285.8633830011787,90.05112740000004,False,-0.7093735727418465,False
1773495405.255352,4.902623702434697,67.81118396062185,-2.8433068134389847,-238.80912150637994,120.05456890000005,False,-0.5285226414133763,False
1773495435.270494,5.35349480737916,77.3668003461756,-2.88529405914328,-234.28279696178853,150.06677639999998,False,-0.5739083241787981,False
1773495465.300685,7.283887978743465,70.52783091787026,-2.854639592729311,-427.988423858378,180.09435500000018,False,-0.45771607883016235,False
1773495495.340908,7.047366025982951,67.25265285132816,-2.8347280410925997,-242.77463224350788,210.1214457000001,False,-0.48389497854470076,False
1773495525.364147,4.698187336244146,72.64278002328768,-2.8371848999897065,-274.0562308813654,240.1416962000003,False,-0.6511658747604112,False
1773495555.371058,7.876097818654969,71.08748406829957,-2.8641175608680745,-236.84886330457743,270.15055770000026,False,-0.6499874036155662,False
1773495585.427102,3.3748814421264304,69.11995790863811,-2.820655496549646,-353.45852226869357,300.19225800000004,False,-0.37595586023788896,False
1773495615.453718,8.945086982457708,74.44199232479966,-2.892712728775985,-367.51216899753524,330.23026419999997,False,-0.48677271348738466,False
1773495645.456423,6.280335569146026,77.65121498114401,-2.901790009195726,-527.5217412803783,360.2419692000003,False,-0.7800240639731123,False
1773495675.467151,6.328082291081393,69.85359214254332,-2.8724599184003927,-129.9020722909637,390.2459537,False,-0.5785300317571125,False
1773495705.502908,6.498902658555876,67.2040716115393,-2.9448271285657803,-252.03622772405413,420.2923753,False,-0.5944197219963117,False
1773495735.516844,7.250001550682913,64.40848757952139,-2.9503104256382655,-356.4120731741418,450.27559629999996,False,-0.222431620344123,False
1773495765.572889,6.5268605348912025,67.45917853292171,-2.9302012225270726,-374.18655861191303,480.3292236000002,False,-0.6146440126209467,False
1773495795.578757,6.220182495200528,70.27138124535861,-2.9041309323240223,-395.24422152620156,510.28778779999993,False,-0.7686934974333319,False
